,TOR02,BAL12,BOS07,TAM02,NYC21
TOR02,0.0,333.4225951928873,428.30749204461006,1111.680422333792,346.6188773992177
BAL12,333.4225951928873,0.0,357.9001893076364,867.6912081811433,178.61154634314994
BOS07,428.30749204461006,357.9001893076364,0.0,1198.1725246281294,179.59836492121596
TAM02,1111.680422333792,867.6912081811433,1198.1725246281294,0.0,1027.437090079531
NYC21,346.6188773992177,178.61154634314994,179.59836492121596,1027.437090079531,0.0
